"owners_clean","total_sum"
"NVR",1462
"RYLAND",1455
"SECRETARY OF HOUSING",1300
"FEDERAL NATIONAL",591
"PULTE",444
"BEAZER HOMES",332
"RYAN OPERATIONS G P",265
"VETERANS AFFAIRS",259
"TITO",240
"MIRAMAR DEVELOPMENT LLC",234
"HIGHPOINTE BUSINESS TRUST",233
"FEDERAL HOME",227
"Wells Fargo Bank",227
"WINDSOR COMMONS ASSOCIATES LLC",203
"DEUTSCHE",201
